S/N,CODE,ITEM DESCRIPTION,UOM,UNIT PRICE,,,
227,OFE 00170,HP 78A Toner,UNIT,10075.5,,,
247,OFE-00257,HP Toner ( 85A),UNIT,14055.56,,,
226,OFE 00123,HP Toner(36A),UNIT,12000,,,
139,CIS-60054,HWIC-1GE-SFP,UNIT,155600,,,
176,INS-80001,insulation tape,UNIT,80,,,
287,TOL-17061,Interconnect patchcord storage module left 200mm w,UNIT,147823.37,,,
288,TOL-17062,Interconnect patchcord storage module right 200 mm,UNIT,147823.37,,,
265,RAD-20104,IP 10-N-N - IP-10 IDU Ethernet Only,UNIT,411140.69,,,
298,TOL-17072,Junction kit,UNIT,3346.3,,,
243,OFE-001200,Labelling machine,UNIT,106547,,,
360,TOL-1930,LAN TESTER,UNIT,2500,,,
103,CAB-70125,LC-LC PATCH CORD,UNIT,2496.32,,,
242,OFE-001125,"LG 42"" LED Television",UNIT,170000,,,
150,CIS-60122,Linksys RE 1000,UNIT,19000,,,
122,CIS 18070,Linksys SPA2102,UNIT,7489.56,,,
59,CAB-70037,LMR 240-1-60,UNIT,28526.92,,,
273,RAD-20173,LMR gas tube surge protector N female to male,UNIT,268117.44,,,
57,CAB-70025,LMR400 Cable,UNIT,258.51,,,
206,INS-80099,"L-shaped 1.5"" bracket",UNIT,3500,,,
207,INS-80100,"L-shaped 2"" bracket",UNIT,8090.91,,,
342,TOL-1764,Media Converter,UNIT,28000,,,
270,RAD-20130,Mikrotik RB/450G,UNIT,29500,,,
271,RAD-20161,MIKROTIK-RB951U1-2HnD,UNIT,27437.5,,,
338,TOL-17236,MST-08XX0J-A0010UM,UNIT,36730.66,,,
337,TOL-17235,MST-08XX0J-A0350UM,UNIT,88231.18,,,
336,TOL-17234,MST-08XX0J-A0500UM,UNIT,108052.04,,,
317,TOL-171081,MST-08XX0J-A0650UM,UNIT,121636.78,,,
318,TOL-171082,MST-08XX0J-A0750UM,UNIT,105057.18,,,
322,TOL-171102,MST-08XXOJ-A0050UM,UNIT,42540.1,,,
320,TOL-171099,MST-08XXOJ-A0200UM,UNIT,60429.8,,,
304,TOL-17083,Multi Outlet Block,UNIT,2628.9,,,
156,CON-90004,N - Type Connector,UNIT,452.73,,,
258,PSU-50073,Nader Load Circuit Breaker 10A,UNIT,2500,,,
256,PSU-50071,Nader Load Circuit Breaker 32A,UNIT,3000,,,
257,PSU-50072,Nader Load Circuit Breaker 63A,UNIT,3500,,,
159,CON-90019,N-Male Connector Right-Angle,UNIT,1682.44,,,
33,BST-13085,NPT-1200 ASSEMBLED SHELF WITH COMMON CARDS,UNIT,487986.83,,,
60,CAB-70040,OAC LMR-400-1-1.5,UNIT,11933.47,,,
105,CAB-70131,OC-ADK-S2-S2-NNC2,UNIT,937.87,,,
99,CAB-70118,OCJ-S2-01MASCA-S2,UNIT,4777.04,,,
104,CAB-70130,OCJ-S2-02MASCA-S2,UNIT,120.18,,,
107,CAB-70150,OCJ-S2-03MASCA-S2,UNIT,4393.55,,,
108,CAB-70151,OCJ-S2-05MASCA-S2,UNIT,10866.92,,,
100,CAB-70120,OCJ-S2-10MASCA-S2,UNIT,5956.13,,,
293,TOL-17067,ODF 600mm wide that provides mounting locations fo,UNIT,394050.5,,,
15,BST-13023,ODU-3400-3600-000N(WIMAX ODU),UNIT,806796.59,,,
323,TOL-17111,OFDR-B-01-8U,UNIT,8433.06,,,
324,TOL-17112,OFDR-I-01-8U,UNIT,9370.07,,,
30,BST-13073,OLTGPON_C+(Y33373),UNIT,35542.59,,,
10,BST-130108,ON312475(TERM.LUG 1/4X2 6AWG CR RA BLU),UNIT,473.87,,,
42,BST-13105,ON313775(C.BRK 8.0A 80VDC,UNIT,7855.27,,,
8,BST-130104,ON314337(C.BRK 16A 80VDC 1POLE/MD),UNIT,5304.2,,,
38,BST-13098,ON318892(OTP10_SR),UNIT,109960.24,,,
7,BST-130100,ON318894(OTP10_LR),UNIT,183965.39,,,
286,TOL-17049,ONT,UNIT,25073.99,,,
351,TOL-1792,Optical Light Source,UNIT,328082.5,,,
352,TOL-1793S,Optical Power Meter,UNIT,95000,,,
294,TOL-17068,OSP cable clamp underfloor entry,UNIT,9660.43,,,
36,BST-13093,OTGBE-SX,UNIT,14701.86,,,
333,TOL-17211,OTR1_S3 CARD ASSY,UNIT,34469.68,,,
326,TOL-17160,OTR16_S3,UNIT,92481.38,,,
334,TOL-17213,OTR64_PS5 CARD ASSY,UNIT,590595.22,,,
285,TOL-17044,P3608FG,UNIT,46200,,,
134,CIS-60022,PA-2T3+,UNIT,- ,,,
145,CIS-60086,PAGE,UNIT,27598.75,,,
144,CIS-60085,PA-MC-8TE1,UNIT,880440,,,
358,TOL-1810,Patch Cord SC/APC,UNIT,3500,,,
350,TOL-1790,Patch Panel,UNIT,10500,,,
28,BST-13069,PDF-4M ROW(Y33254),UNIT,46781,,,
5,BST 13015,PDU (NPM 2500),UNIT,922334.08,,,
347,TOL-1788,Pigtails,UNIT,380,,,
229,OFE 00278,Plantronics HW261N binaural headset,UNIT,15356.15,,,
153,COL-12048,POLO SHIRT,UNIT,1856.94,,,
237,OFE-00078,RACK EQUIPMENT SHELF,UNIT,20000,,,
